Name,Elastic IP,Associated Instance ID
vired-website-next-staging,13.126.136.44,i-026dfd1a9f8b19632
AWSEBEIP,13.126.165.75,i-05e8aa7140c289ca6
V2-wrapper-1,13.200.145.229,i-093b34b332eeaa9e0
Financeapp-env-prod,13.200.223.196,i-07f83cab65741513a
arn:aws:cloudformation:ap-south-1:725799283397:stack/awseb-e-xar9zu2ptn-stack/5f6cf630-6c1a-11ee-a566-06a9b70576ba,13.232.115.50,i-036bfaf9881e96ca7
AWSEBEIP,13.234.137.46,i-0458bea86a39988f0
lms-iomad-staging,13.234.6.236,i-0bd826231209a5586
Heroauthtest-env,13.235.152.29,i-0a037e33ca89fa2ad
Loanmanagementenv-env,13.235.232.237,i-08f65c3f6fe1359a1
e-rptzvwdgnu,15.206.19.94,i-05ef7ff6e55d35fa5
AWSEBEIP,15.206.192.199,i-0dcecbb238ddeeacd
jenkins-server,3.108.134.249,
Patravahakh-live,3.109.229.158,i-081d6dab819bc490c
Vassist-ip-env-dev,3.110.35.87,i-03c627ab8778ca89a
prod-bitnami,3.111.106.184,
prod,3.111.67.168,i-041e4f396e437230c
Salesopsmanagement-prod-env,35.154.88.244,i-0c27e5662e2c654b2
awseb-e-dknjryac3y-stack,43.204.168.75,i-0d82e9fc05dd87248
data-pipeline-stage,43.204.205.8,i-0fc1ed53eab05c594
awseb-e-zqynrgtbdg-stack,43.205.182.105,i-04a8c2576f119b228
awseb-e-nwmufvq42q-stack,52.66.174.255,i-074024bf8f654c18d
,65.0.136.142,
,65.1.197.103,
vired-website-prod,65.1.67.185,i-0b97ca1bf82270209
Eventserviceprod-env,65.2.20.90,i-016eb955f4a13cd8c
iomad-uat-server-ip,65.2.50.1,i-035a17f8044617017
staging.herovired.com,65.2.50.47,i-041a50e9b9c7b0b77
